,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
71,71,0.620442846271826,2023-04-11 16:55:56.438624,2023-04-11 16:55:58.961827,0 days 00:00:02.523203,1.723008359857043e-07,gbtree,0.8417539978508118,0.5745783104896155,0.0011915924459034422,depthwise,1.4689542885062593e-08,2,6,,,,,0.6061312023567331,COMPLETE
72,72,0.6339131149457258,2023-04-11 16:55:58.965826,2023-04-11 16:56:01.925080,0 days 00:00:02.959254,4.78277830531752e-07,gbtree,0.8222847677416644,0.1343412132031796,0.0034564835263514878,depthwise,2.831108141199875e-08,3,6,,,,,0.638817546841116,COMPLETE
73,73,0.6075421082049002,2023-04-11 16:56:01.928081,2023-04-11 16:56:04.991526,0 days 00:00:03.063445,3.653861490468111e-07,gbtree,0.867197020330948,0.06868047586801929,0.0008292464167740259,depthwise,2.3002585786192663e-08,3,5,,,,,0.6383787018835412,COMPLETE
74,74,0.611892642378075,2023-04-11 16:56:04.995526,2023-04-11 16:56:08.708048,0 days 00:00:03.712522,6.111273110956456e-08,gbtree,0.8145442759393338,0.1321814572994886,0.00037130899688749084,depthwise,1.6340777454728747e-08,3,6,,,,,0.6676135768392244,COMPLETE
75,75,0.6260361740283844,2023-04-11 16:56:08.713050,2023-04-11 16:56:12.544525,0 days 00:00:03.831475,4.816903435875368e-07,gbtree,0.8324582435307248,0.14836862168906992,0.0018312494690991463,depthwise,2.6400818292914787e-08,3,6,,,,,0.6001387075246831,COMPLETE
76,76,0.6110656247430306,2023-04-11 16:56:12.548525,2023-04-11 16:56:16.289828,0 days 00:00:03.741303,1.0793357689402487e-07,gbtree,0.7851783599250298,0.1326663900104551,0.001693150429808385,depthwise,3.1952857681149954e-08,4,4,,,,,0.6545046451694574,COMPLETE
77,77,0.6244604371031273,2023-04-11 16:56:16.293831,2023-04-11 16:56:20.761762,0 days 00:00:04.467931,2.310225577340014e-07,gbtree,0.8227315445509156,0.2128245133539913,0.009403261986966392,depthwise,1.0022754882406528e-07,4,7,,,,,0.7067280278081115,COMPLETE
78,78,0.6057879915853499,2023-04-11 16:56:20.766763,2023-04-11 16:56:24.479830,0 days 00:00:03.713067,6.33621359866029e-07,gbtree,0.8849974255853013,0.04007471520902366,0.0035570434449226007,depthwise,1.846127229094712e-07,4,6,,,,,0.7161838695700907,COMPLETE
79,79,0.6257457284926546,2023-04-11 16:56:24.484831,2023-04-11 16:56:27.543834,0 days 00:00:03.059003,2.1857482357646813e-07,gbtree,0.8549291106164585,0.241776421634193,0.009296988261231,depthwise,8.195931787910366e-08,3,7,,,,,0.7022934720949331,COMPLETE
80,80,0.6048531235627369,2023-04-11 16:56:27.547834,2023-04-11 16:56:30.486193,0 days 00:00:02.938359,1.8999476076345626e-07,gbtree,0.8514418835814477,0.21564295444363363,0.007128374827577177,depthwise,8.706265208419726e-08,3,7,,,,,0.6798171841141102,COMPLETE
81,81,0.6065357999471457,2023-04-11 16:56:30.491195,2023-04-11 16:56:33.863211,0 days 00:00:03.372016,3.9886755807713026e-08,gbtree,0.8002858910929143,0.07417581308204492,0.007776103860471173,depthwise,1.088315068663849e-07,4,7,,,,,0.7036177475849974,COMPLETE
82,82,0.6154448556775491,2023-04-11 16:56:33.867213,2023-04-11 16:56:36.750018,0 days 00:00:02.882805,1.9318665756892571e-07,gbtree,0.8740518890869357,0.23854928896358946,0.010872819745548604,depthwise,5.601291596128755e-08,3,6,,,,,0.6381856439864466,COMPLETE
83,83,0.6194486034597321,2023-04-11 16:56:36.755019,2023-04-11 16:56:39.559051,0 days 00:00:02.804032,5.056316569767282e-07,gbtree,0.7551547657710108,0.14234801280683826,0.021306905485967968,depthwise,1.0745278158275186e-08,3,5,,,,,0.7324700702202307,COMPLETE
84,84,0.6218493343621921,2023-04-11 16:56:39.564052,2023-04-11 16:56:43.387145,0 days 00:00:03.823093,9.883318882334758e-08,gbtree,0.927043398059144,0.2820439969957458,0.002069703085710225,depthwise,3.3193374781289147e-08,3,7,,,,,0.6873905801040878,COMPLETE
85,85,0.6228326091631281,2023-04-11 16:56:43.393144,2023-04-11 16:56:47.474014,0 days 00:00:04.080870,9.002409444647787e-07,gbtree,0.8280788027353188,0.0597581701859049,0.004962801463371208,depthwise,1.543696859458128e-07,4,6,,,,,0.6614761941691489,COMPLETE
86,86,0.6179373802112543,2023-04-11 16:56:47.478016,2023-04-11 16:56:51.505921,0 days 00:00:04.027905,2.509711042571724e-07,gbtree,0.8968037673369401,0.09831744159666023,0.0029448627798311145,depthwise,8.003062622115555e-08,4,7,,,,,0.7061147723215206,COMPLETE
87,87,0.6025151000739185,2023-04-11 16:56:51.509920,2023-04-11 16:56:55.345412,0 days 00:00:03.835492,4.068171934516928e-08,gbtree,0.7261940616645468,0.035835619148054006,0.007818827272921264,depthwise,2.6152400542379493e-07,3,6,,,,,0.6298031985456894,COMPLETE
88,88,0.6166858325011125,2023-04-11 16:56:55.349411,2023-04-11 16:56:59.232322,0 days 00:00:03.882911,2.838036060475294e-06,gbtree,0.8546137612747959,0.6913680921101661,0.000599934097602297,depthwise,5.339862427708027e-07,3,7,,,,,0.6230129971242435,COMPLETE
